dataset,auroc,accuracy,tpr_at_fpr,fpr
anthropic,0.9128828596950749,0.7859922178988327,0.3093385214007782,0.01
mt,0.7586046270896951,0.5071942446043165,0.12949640287769784,0.01
mts,0.8751931376205445,0.791970802919708,0.27007299270072993,0.01
toolace,0.7409837894110649,0.5304878048780488,0.03048780487804878,0.01
mean,0.8219161034540948,0.6539112675752266,0.1848489304643137,0.01
