dataset,auroc,accuracy,tpr_at_fpr,fpr
anthropic,0.9400956108343805,0.8093385214007782,0.45136186770428016,0.01
mt,0.7874851198178149,0.5251798561151079,0.18705035971223022,0.01
mts,0.8808940273855825,0.7773722627737226,0.15328467153284672,0.01
toolace,0.721278256989887,0.5182926829268293,0.036585365853658534,0.01
mean,0.8324382537569162,0.6575458308041096,0.20707056620075392,0.01
