dataset,auroc,accuracy,tpr_at_fpr,fpr
anthropic,0.9054962982028494,0.77431906614786,0.29766536964980544,0.01
mt,0.7137052947570001,0.5035971223021583,0.0,0.01
mts,0.8646971069316426,0.7554744525547445,0.1897810218978102,0.01
toolace,0.7473416121356334,0.6036585365853658,0.06707317073170732,0.01
mean,0.8078100780067814,0.6592622943975321,0.13862989056983074,0.01
