dataset,auroc,accuracy,tpr_at_fpr,fpr
anthropic,0.9416455964511197,0.8618677042801557,0.46108949416342415,0.01
mt,0.7460276383209978,0.5071942446043165,0.09352517985611511,0.01
mts,0.8721562150354306,0.7883211678832117,0.26277372262773724,0.01
toolace,0.7396267102914931,0.6128048780487805,0.024390243902439025,0.01
mean,0.8248640400247603,0.6925469987041161,0.21044466013742888,0.01
