dataset,auroc,accuracy,tpr_at_fpr,fpr
a,0.9018058562582325,0.8210116731517509,0.4046692607003891,0.01
b,0.6150820350913514,0.5071942446043165,0.0,0.01
c,0.8412541957483084,0.6788321167883211,0.13138686131386862,0.01
d,0.7184339678762641,0.6219512195121951,0.03048780487804878,0.01
mean,0.7691440137435391,0.6572473135141459,0.14163598172307662,0.01
