dataset,auroc,accuracy,tpr_at_fpr,fpr
anthropic,0.9378718829959576,0.8317120622568094,0.4066147859922179,0.01
mt,0.7914962993633871,0.5251798561151079,0.16546762589928057,0.01
mts,0.8600618040385742,0.7554744525547445,0.15328467153284672,0.01
toolace,0.7248103807257585,0.5579268292682927,0.012195121951219513,0.01
mean,0.8285600917809194,0.6675733000487386,0.18439055134389118,0.01
