dataset,auroc,accuracy,tpr_at_fpr,fpr
a,0.6705000000000001,0.525,0.19,0.01
b,0.8718779891593156,0.7731958762886598,0.0,0.01
c,0.8888,0.74,0.0,0.01
d,0.8795013850415512,0.6929824561403509,0.0,0.01
e,0.9782,0.93,0.73,0.01
f,0.8509000000000001,0.685,0.14,0.01
i,0.755765756190881,0.5670103092783505,0.17525773195876287,0.01
mean,0.842220732913107,0.7018840916724801,0.17646539027982328,0.01
