dataset,auroc,accuracy,tpr_at_fpr,fpr
a,0.9427984429065744,0.7058823529411765,0.7794117647058824,0.01
b,0.7621964802851414,0.7164179104477612,0.0,0.01
c,0.8393749999999998,0.7225,0.285,0.01
d,0.9656913785922533,0.9132653061224489,0.6224489795918368,0.01
mean,0.8775153254459922,0.7645163923778466,0.4217151860744298,0.01
