dataset,auroc,accuracy,tpr_at_fpr,fpr
a,0.63915,0.535,0.0,0.01
b,0.7134126899776809,0.6443298969072165,0.0,0.01
c,0.8859,0.785,0.0,0.01
d,0.8234841489689135,0.7368421052631579,0.40350877192982454,0.01
e,0.92745,0.875,0.0,0.01
f,0.8950999999999999,0.84,0.0,0.01
i,0.7291954511637793,0.5618556701030928,0.05154639175257732,0.01
mean,0.8019560414443391,0.711146810324781,0.06500788052605741,0.01
