dataset,auroc,accuracy,tpr_at_fpr,fpr
a,0.8708174991294342,0.7957198443579766,0.22762645914396887,0.01
b,0.7979659437917292,0.5,0.1223021582733813,0.01
c,0.9035643880867387,0.8138686131386861,0.2116788321167883,0.01
d,0.7742415229030338,0.7164634146341463,0.21951219512195122,0.01
mean,0.836647338477734,0.7065129680327021,0.1952799111640224,0.01
