dataset,auroc,accuracy,tpr_at_fpr,fpr
a,0.783628892733564,0.5073529411764706,0.25,0.01
b,0.6578302517264424,0.5447761194029851,0.0,0.01
c,0.962525,0.585,0.64,0.01
d,0.7136609745939192,0.5153061224489796,0.04081632653061224,0.01
mean,0.7794112797634813,0.5381087957571088,0.23270408163265308,0.01
